created_at,entry_id,temperature,humidity,cable_machine,leg_press_machine,smith_machine,lat_pulldown_machine
2024-09-20 18:21:42 UTC,1,20.68,,,,,
2024-09-20 18:22:13 UTC,2,23.13,,,,,
2024-09-20 18:22:44 UTC,3,23.63,,,,,
2024-09-20 18:28:08 UTC,4,27.54,,,,,
2024-09-20 18:28:39 UTC,5,26.14,,,,,
2024-09-20 18:29:10 UTC,6,22.4,,,,,
2024-09-20 18:29:41 UTC,7,18.15,,,,,
2024-09-20 18:30:12 UTC,8,24.02,,,,,
2024-09-20 18:30:43 UTC,9,18.07,,,,,
2024-09-20 18:31:14 UTC,10,25.69,,,,,
2024-09-20 18:39:25 UTC,11,22.74,,,,,
2024-09-20 18:39:56 UTC,12,27.55,,,,,
2024-09-20 18:40:27 UTC,13,26.42,,,,,
2024-09-20 18:40:58 UTC,14,26.14,,,,,
2024-09-20 18:41:29 UTC,15,23.29,,,,,
2024-09-20 18:42:00 UTC,16,18.38,,,,,
2024-09-20 18:42:31 UTC,17,26.86,,,,,
2024-09-20 18:43:02 UTC,18,20.05,,,,,
2024-09-20 18:43:33 UTC,19,20.83,,,,,
2024-09-20 18:44:04 UTC,20,29.0,,,,,
2024-09-20 18:44:35 UTC,21,29.39,,,,,
2024-09-20 18:45:06 UTC,22,22.65,,,,,
2024-09-20 18:45:37 UTC,23,26.95,,,,,
2024-09-20 18:46:08 UTC,24,26.29,,,,,
2024-09-20 18:46:39 UTC,25,29.55,,,,,
2024-09-20 18:47:10 UTC,26,27.0,,,,,
2024-09-20 18:47:41 UTC,27,20.82,,,,,
2024-09-20 18:48:12 UTC,28,26.31,,,,,
2024-09-20 18:48:43 UTC,29,25.9,,,,,
2024-09-20 18:49:14 UTC,30,21.52,,,,,
2024-09-20 18:49:45 UTC,31,19.01,,,,,
2024-09-20 18:50:16 UTC,32,21.03,,,,,
2024-09-20 18:50:47 UTC,33,21.16,,,,,
2024-09-20 18:51:18 UTC,34,26.73,,,,,
2024-09-20 18:51:49 UTC,35,18.75,,,,,
2024-09-20 18:52:20 UTC,36,19.35,,,,,
2024-09-20 18:52:51 UTC,37,20.44,,,,,
2024-09-20 18:53:22 UTC,38,23.9,,,,,
2024-09-20 18:53:53 UTC,39,28.99,,,,,
2024-09-20 18:54:24 UTC,40,22.12,,,,,
2024-09-20 18:54:55 UTC,41,19.48,,,,,
2024-09-20 18:55:39 UTC,42,22.6,,,,,
2024-09-20 18:56:10 UTC,43,22.97,,,,,
2024-09-20 18:56:41 UTC,44,20.88,,,,,
2024-09-20 18:57:12 UTC,45,18.67,,,,,
2024-09-20 18:57:43 UTC,46,23.68,,,,,
2024-09-20 18:58:15 UTC,47,20.42,,,,,
2024-09-20 18:58:45 UTC,48,23.6,,,,,
2024-09-20 18:59:16 UTC,49,18.12,,,,,
2024-09-20 18:59:47 UTC,50,22.17,,,,,
2024-09-20 19:00:18 UTC,51,19.82,,,,,
2024-09-20 19:00:49 UTC,52,20.52,,,,,
2024-09-20 19:11:46 UTC,53,18.53,,,,,
2024-09-20 19:12:18 UTC,54,19.96,,,,,
2024-09-20 19:21:15 UTC,55,19.05,,,,,
2024-09-20 19:21:46 UTC,56,20.87,,,,,
2024-09-20 19:22:17 UTC,57,21.54,,,,,
2024-09-20 19:22:48 UTC,58,26.03,,,,,
2024-09-20 19:23:19 UTC,59,24.44,,,,,
2024-09-20 19:23:50 UTC,60,26.83,,,,,
2024-09-20 19:24:21 UTC,61,20.59,,,,,
2024-09-20 19:24:52 UTC,62,28.9,,,,,
2024-09-20 19:25:23 UTC,63,29.51,,,,,
2024-09-20 19:25:54 UTC,64,22.91,,,,,
2024-09-20 19:26:25 UTC,65,18.59,,,,,
2024-09-20 19:26:56 UTC,66,18.16,,,,,
2024-09-20 19:27:34 UTC,67,23.87,66.23,,,,
2024-09-20 19:28:05 UTC,68,22.54,35.39,7.0,5.0,2.0,4.0
2024-09-20 19:28:36 UTC,69,20.37,48.51,6.0,3.0,4.0,1.0
2024-09-20 19:29:07 UTC,70,24.44,58.94,10.0,3.0,7.0,6.0
2024-09-20 19:29:38 UTC,71,25.31,66.32,3.0,2.0,4.0,9.0
2024-09-20 19:31:46 UTC,72,24.47,32.3,,,,
2024-09-20 19:35:05 UTC,73,23.12,36.78,,,,
2024-09-20 19:35:36 UTC,74,19.97,52.98,6.0,10.0,4.0,9.0
2024-09-20 19:36:07 UTC,75,21.82,69.75,7.0,5.0,1.0,4.0
2024-09-20 19:36:38 UTC,76,22.04,54.33,5.0,2.0,10.0,8.0
